,Lien,Prix,Type de propriété,Vente publique,Immeuble de rapport,Bien neuf,Code Postal,Ville,Sous-type de propriété,Nombre de façades,Etat du bâtiment,Surface habitable,Nombre de chambre(s),Type de cuisine,Feu ouvert,Meublé,Jardin,Surface du jardin,Terrasse,Surface de la terrasse,Surface totale du terrain,Piscine,Surface de la zone constructible
16340,https://www.immoweb.be/fr/annonce/immeuble-a-appartements/a-vendre/bonheiden/2820/8905831,1225000,Maison,False,True,False,2820,Bonheiden,Immeuble à appartements,4.0,None,460.0,6.0,Équipée,True,False,True,None,True,83.0,2096.0,False,None
16341,https://www.immoweb.be/fr/annonce/maison-de-maitre/a-vendre/etterbeek/1040/8835429,1350000,Maison,False,False,False,1040,Etterbeek,Maison de maître,2.0,None,460.0,8.0,None,True,False,False,None,True,None,460.0,False,None
16342,https://www.immoweb.be/fr/annonce/maison/a-vendre/oudenburg/8460/8838815,1380000,Maison,False,True,False,8460,Oudenburg,Maison,2.0,Bon,None,None,None,False,False,False,None,False,None,763.0,False,None
16343,https://www.immoweb.be/fr/annonce/villa/a-vendre/knokke-heist/8300/8736939,1440000,Maison,False,False,False,8300,Knokke-Heist,Villa,None,Bon,1011.0,4.0,Hyper équipée,False,False,False,None,True,None,None,False,None
16344,https://www.immoweb.be/fr/annonce/villa/a-vendre/ohain/1380/8567892,1675000,Maison,False,False,False,1380,Ohain,Villa,4.0,Excellent état,462.0,5.0,Équipée,False,False,True,5900.0,True,None,5900.0,True,None
16345,https://www.immoweb.be/fr/annonce/maison-de-maitre/a-vendre/etterbeek/1040/8872655,1795000,Maison,False,False,False,1040,Etterbeek,Maison de maître,2.0,Bon,350.0,6.0,Équipée,False,False,False,None,True,None,575.0,False,None
16346,https://www.immoweb.be/fr/annonce/immeuble-mixte/a-vendre/tirlemont/3300/8870116,1850000,Maison,False,True,False,3300,Tirlemont,Immeuble mixte,2.0,None,627.0,6.0,Hyper équipée,True,False,False,None,True,None,1233.0,False,None
16347,https://www.immoweb.be/fr/annonce/maison/a-vendre/tirlemont/3300/8870106,1850000,Maison,False,False,False,3300,Tirlemont,Maison,2.0,None,627.0,6.0,Hyper équipée,True,False,False,None,True,None,1233.0,False,None
16348,https://www.immoweb.be/fr/annonce/maison/a-vendre/etterbeek/1040/8707218,2100000,Maison,False,False,False,1040,Etterbeek,Maison,4.0,Excellent état,400.0,4.0,Américaine hyper-équipée,False,False,True,100.0,True,200.0,500.0,False,None
16349,https://www.immoweb.be/fr/annonce/villa/a-vendre/knokke-heist/8300/8649283,2200000,Maison,False,False,False,8300,Knokke-Heist,Villa,4.0,Bon,None,11.0,None,False,False,True,250.0,True,None,671.0,False,None
16350,https://www.immoweb.be/fr/annonce/villa/a-vendre/braine-lalleud/1420/8800446,2680000,Maison,False,False,False,1420,Braine-l'Alleud,Villa,4.0,Excellent état,800.0,8.0,None,True,False,False,None,True,None,20000.0,True,None
16351,https://www.immoweb.be/fr/annonce/maison/a-vendre/pelt/3900/8887566,170000,Maison,True,False,False,3900,Pelt,Maison,None,None,None,3.0,None,False,False,False,None,False,None,1044.0,False,None
16352,https://www.immoweb.be/fr/annonce/maison/a-vendre/blankenberge/8370/8889286,549000,Maison,False,True,False,8370,Blankenberge,Maison,None,Bon,340.0,5.0,None,False,False,False,None,False,None,118.0,False,118.0
16353,https://www.immoweb.be/fr/annonce/maison/a-vendre/leest/2811/8893368,239000,Maison,True,False,False,2811,Leest,Maison,None,None,None,3.0,Équipée,False,False,False,None,True,None,330.0,False,None
16354,https://www.immoweb.be/fr/annonce/bien-exceptionnel/a-vendre/waterloo/1410/8884855,1350000,Maison,False,False,False,1410,Waterloo,Bien exceptionnel,4.0,Excellent état,331.0,5.0,Hyper équipée,False,False,False,None,False,None,None,False,None
